Друзья,https://www.kinopoisk.ru/film/77044/,США,"комедия, мелодрама",9.3
Последний танец,https://www.kinopoisk.ru/film/1162628/,США,"документальный, биография",9.1
Игра престолов,https://www.kinopoisk.ru/film/464963/,"США, Великобритания","фэнтези, драма",9.0
Чернобыль,https://www.kinopoisk.ru/film/1227803/,"США, Великобритания","драма, история",9.0
Смешарики. Новый сезон,https://www.kinopoisk.ru/film/1379016/,Россия,"мультфильм, детский",8.9
Рик и Морти,https://www.kinopoisk.ru/film/685246/,США,"мультфильм, комедия",8.9
Шерлок,https://www.kinopoisk.ru/film/502838/,"Великобритания, США","детектив, триллер",8.9
Гравити Фолз,https://www.kinopoisk.ru/film/591929/,США,"мультфильм, комедия",8.9
Во все тяжкие,https://www.kinopoisk.ru/film/404900/,США,"триллер, криминал",8.9
Доктор Хаус,https://www.kinopoisk.ru/film/178710/,США,"драма, детектив",8.8
Доктор Кто,https://www.kinopoisk.ru/film/252089/,Великобритания,"фантастика, драма",8.7
Клиника,https://www.kinopoisk.ru/film/251568/,США,"комедия, драма",8.7
Настоящий детектив,https://www.kinopoisk.ru/film/681831/,США,"детектив, криминал",8.7
Клан Сопрано,https://www.kinopoisk.ru/film/79848/,США,"драма, криминал",8.7
Светлячок,https://www.kinopoisk.ru/film/178720/,США,"фантастика, приключения",8.7
По ту сторону изгороди,https://www.kinopoisk.ru/film/841914/,США,"мультфильм, фэнтези",8.7
Братья по оружию,https://www.kinopoisk.ru/film/94249/,"США, Великобритания","военный, драма",8.6
Форс-мажоры,https://www.kinopoisk.ru/film/557806/,США,"драма, комедия",8.6
Внутри Лапенко,https://www.kinopoisk.ru/film/1328337/,Россия,комедия,8.6
Бесстыжие,https://www.kinopoisk.ru/film/571335/,США,"драма, комедия",8.6
Теория большого взрыва,https://www.kinopoisk.ru/film/306084/,США,"комедия, мелодрама",8.6
Как я встретил вашу маму,https://www.kinopoisk.ru/film/401522/,США,"комедия, мелодрама",8.6
Энн,https://www.kinopoisk.ru/film/1009510/,Канада,драма,8.6
Твин Пикс,https://www.kinopoisk.ru/film/84358/,США,"триллер, драма",8.5
Черное зеркало,https://www.kinopoisk.ru/film/655800/,Великобритания,"фантастика, триллер",8.5
Аватар: Легенда об Аанге,https://www.kinopoisk.ru/film/401152/,США,"мультфильм, фэнтези",8.5
Удивительная миссис Мейзел,https://www.kinopoisk.ru/film/994468/,США,"драма, комедия",8.5
Прослушка,https://www.kinopoisk.ru/film/402955/,США,"триллер, драма",8.5
Очень странные дела,https://www.kinopoisk.ru/film/915196/,США,"ужасы, фантастика",8.4
Острые козырьки,https://www.kinopoisk.ru/film/716587/,Великобритания,"драма, криминал",8.4
Почему женщины убивают,https://www.kinopoisk.ru/film/1197956/,США,"драма, комедия",8.4
Голяк,https://www.kinopoisk.ru/film/1236393/,Великобритания,комедия,8.4
Нарко,https://www.kinopoisk.ru/film/821565/,"США, Колумбия","криминал, драма",8.4
Фарго,https://www.kinopoisk.ru/film/767379/,США,"триллер, драма",8.4
Побег,https://www.kinopoisk.ru/film/258048/,"Великобритания, США","боевик, триллер",8.4
Это мы,https://www.kinopoisk.ru/film/969141/,США,"драма, мелодрама",8.4
Аббатство Даунтон,https://www.kinopoisk.ru/film/518192/,Великобритания,"драма, мелодрама",8.4
Карточный домик,https://www.kinopoisk.ru/film/581937/,США,драма,8.4
